Date,Negative,Neutral,Positive,Polarity,sum,NegPercent,NeuPercent,PosPercent,Open,High,Low,Close
6/1/20,263,597,555,0.206360424,1415,19,42,39,3038.78,3062.18,3031.54,3055.73
6/2/20,208,590,663,0.311430527,1461,14,40,45,3064.78,3081.07,3051.64,3080.82
6/3/20,251,775,710,0.264400922,1736,14,45,41,3098.9,3130.94,3098.9,3122.87
6/4/20,274,622,598,0.21686747,1494,18,42,40,3111.56,3128.91,3090.41,3112.35
6/5/20,242,684,800,0.323290846,1726,14,40,46,3163.84,3211.72,3163.84,3193.93
6/8/20,264,673,707,0.26946472,1644,16,41,43,3199.92,3233.13,3196,3232.39
6/9/20,322,785,798,0.249868766,1905,17,41,42,3213.32,3222.71,3193.11,3207.18
6/10/20,296,876,885,0.286339329,2057,14,43,43,3213.42,3223.27,3181.49,3190.14
6/11/20,381,836,696,0.164662833,1913,20,44,36,3123.53,3123.53,2999.49,3002.1
6/15/20,272,738,756,0.274065685,1766,15,42,43,2993.76,3079.76,2965.66,3066.59
6/16/20,296,714,727,0.248128958,1737,17,41,42,3131,3153.45,3076.06,3124.74
6/17/20,266,779,648,0.225634968,1693,16,46,38,3136.13,3141.16,3108.03,3113.49
6/18/20,302,727,610,0.187919463,1639,18,44,37,3101.64,3120,3093.51,3115.34
6/19/20,285,827,754,0.251339764,1866,15,44,40,3140.29,3155.53,3083.11,3097.74
6/22/20,278,809,731,0.249174917,1818,15,44,40,3094.42,3120.92,3079.39,3117.86
6/23/20,305,863,784,0.245389344,1952,16,44,40,3138.7,3154.9,3127.12,3131.29
6/24/20,284,746,756,0.264277716,1786,16,42,42,3114.4,3115.01,3032.13,3050.33
6/25/20,300,749,775,0.260416667,1824,16,41,42,3046.6,3086.25,3024.01,3083.76
6/26/20,313,889,815,0.248884482,2017,16,44,40,3073.2,3073.73,3004.63,3009.05
6/29/20,389,740,791,0.209375,1920,20,39,41,3018.59,3053.89,2999.74,3053.24
6/30/20,276,688,1037,0.380309845,2001,14,34,52,3050.2,3111.51,3047.83,3100.29